timestamp,stage,group,topic,partition,current_offset,log_end_offset,lag
2026-08-05T03:00:10,smoke,weather-group,order-events,0,84,108,24
2026-08-05T03:00:10,smoke,notification-group,delivery-risk-events,0,77,90,13
2026-08-05T03:00:30,smoke,weather-group,order-events,0,170,186,16
2026-08-05T03:00:30,smoke,notification-group,delivery-risk-events,0,154,172,18
2026-08-05T03:00:45,smoke,weather-group,order-events,0,214,214,0
2026-08-05T03:00:45,smoke,notification-group,delivery-risk-events,0,177,177,0
2026-08-05T03:00:56,smoke,weather-group,order-events,0,214,214,0
2026-08-05T03:00:56,smoke,notification-group,delivery-risk-events,0,177,177,0
2026-08-05T03:01:14,smoke,weather-group,order-events,0,214,214,0
2026-08-05T03:01:14,smoke,notification-group,delivery-risk-events,0,177,177,0
2026-08-05T03:01:25,smoke,weather-group,order-events,0,214,214,0
2026-08-05T03:01:25,smoke,notification-group,delivery-risk-events,0,177,177,0
2026-08-05T03:01:39,smoke,weather-group,order-events,0,214,214,0
2026-08-05T03:01:39,smoke,notification-group,delivery-risk-events,0,177,177,0
2026-08-05T03:02:15,ramp,weather-group,order-events,0,214,214,0
2026-08-05T03:02:15,ramp,notification-group,delivery-risk-events,0,177,177,0
2026-08-05T03:02:27,ramp,weather-group,order-events,0,248,250,2
2026-08-05T03:02:27,ramp,notification-group,delivery-risk-events,0,226,245,19
2026-08-05T03:02:41,ramp,weather-group,order-events,0,321,323,2
2026-08-05T03:02:41,ramp,notification-group,delivery-risk-events,0,316,317,1
2026-08-05T03:02:55,ramp,weather-group,order-events,0,394,395,1
2026-08-05T03:02:55,ramp,notification-group,delivery-risk-events,0,385,387,2
2026-08-05T03:03:09,ramp,weather-group,order-events,0,466,468,2
2026-08-05T03:03:09,ramp,notification-group,delivery-risk-events,0,462,463,1
2026-08-05T03:03:25,ramp,weather-group,order-events,0,540,542,2
2026-08-05T03:03:25,ramp,notification-group,delivery-risk-events,0,524,536,12
2026-08-05T03:03:38,ramp,weather-group,order-events,0,616,622,6
2026-08-05T03:03:38,ramp,notification-group,delivery-risk-events,0,609,613,4
2026-08-05T03:03:52,ramp,weather-group,order-events,0,685,719,34
2026-08-05T03:03:52,ramp,notification-group,delivery-risk-events,0,687,693,6
2026-08-05T03:04:05,ramp,weather-group,order-events,0,771,835,64
2026-08-05T03:04:05,ramp,notification-group,delivery-risk-events,0,773,774,1
2026-08-05T03:04:19,ramp,weather-group,order-events,0,827,970,143
2026-08-05T03:04:19,ramp,notification-group,delivery-risk-events,0,853,858,5
2026-08-05T03:04:34,ramp,weather-group,order-events,0,915,1134,219
2026-08-05T03:04:34,ramp,notification-group,delivery-risk-events,0,945,947,2
2026-08-05T03:04:49,ramp,weather-group,order-events,0,1000,1421,421
2026-08-05T03:04:49,ramp,notification-group,delivery-risk-events,0,1053,1078,25
2026-08-05T03:05:16,ramp,weather-group,order-events,0,1073,1865,792
2026-08-05T03:05:16,ramp,notification-group,delivery-risk-events,0,1181,1188,7
2026-08-05T03:05:35,ramp,weather-group,order-events,0,1260,2291,1031
2026-08-05T03:05:35,ramp,notification-group,delivery-risk-events,0,1281,1284,3
2026-08-05T03:05:52,ramp,weather-group,order-events,0,1260,2880,1620
2026-08-05T03:05:52,ramp,notification-group,delivery-risk-events,0,1392,1401,9
2026-08-05T03:06:13,ramp,weather-group,order-events,0,1260,3790,2530
2026-08-05T03:06:13,ramp,notification-group,delivery-risk-events,0,1512,1519,7
2026-08-05T03:06:33,ramp,weather-group,order-events,0,1504,4942,3438
2026-08-05T03:06:33,ramp,notification-group,delivery-risk-events,0,1633,1646,13
2026-08-05T03:06:55,ramp,weather-group,order-events,0,1504,6685,5181
2026-08-05T03:06:55,ramp,notification-group,delivery-risk-events,0,1745,1789,44
2026-08-05T03:07:21,ramp,weather-group,order-events,0,1504,8442,6938
2026-08-05T03:07:21,ramp,notification-group,delivery-risk-events,0,1824,1876,52
2026-08-05T03:07:36,ramp,weather-group,order-events,0,1504,8442,6938
